date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-08,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2018-09-09,0,,0,,,,,,,,0,0,0,0,0,0,,,,,,0,,,,
2018-09-10,16,,479.75,,0.68170515,,,,,,479.75,479.75,479.75,32,32,703.75,,21.9921875,,17.455,,703.75,,,,
2018-09-11,9,,250763.8,,1.00181024,,,,,,251243.55,251243.55,251243.55,7,7,250789.56,,35827.08,,50,,250789.56,,,,
2018-09-12,13,,0,,836.25121561,,,,,,251092.79,251092.79,251092.79,11,10,300.26,,30.026,,4.5,,300.26,,,,
2018-09-13,13,,377.37,,556.0300712,,,,,,251470.16,251470.16,251470.16,9,9,452.26,,50.25111111,,5,,452.26,,,,
2018-09-14,0,,0,,,,,,,,251470.16,251470.16,251470.16,0,0,0,,,,,,0,,,,
2018-09-15,2,,0,,251470.16,,,,,,251470.16,251470.16,251470.16,1,1,1,,1,,1,,1,,,,
2018-09-16,3,,0,,16764.67733333,,,,,,251470.16,251470.16,251470.16,2,2,15,,7.5,,7.5,,15,,,,
2018-09-17,11,,696,,342.57052031,,,,,,252166.16,252166.16,252166.16,7,7,736.1,,105.15714286,,20,,736.1,,,,
2018-09-18,22,,1299990,,1.1893696,,,,,,1552156.16,1552156.16,1552156.16,16,16,1305024.237,,81564.0148125,,1.0555,,1305024.237,,,,
2018-09-19,32,,475,,182.80162511,,,,,,1552631.16,1552631.16,1552631.16,32,32,8493.5304,,267.922825,,10,,8573.5304,,,,
2018-09-20,21,,6532986,,1.23762803,,,,,,8085617.16,8085617.16,8085617.16,16,16,6533156.11565432,,408322.2572284,,25,,6533156.115654321012345678,,,,
2018-09-21,35,,3570270,,2.07561718,,,,,,11655887.16,11655887.16,11655887.16,33,33,5615624.7269042,,170171.96142134,,50,,5615674.7269042,,,,
2018-09-22,10,,500100,,2.40981275,,,,,,12155987.16,12155987.16,12155987.16,7,7,5044370,,720624.28571429,,200000,,5044370,,,,
2018-09-23,3,,0,,2267908.05223881,,,,,,12155987.16,12155987.16,12155987.16,2,2,5.36,,2.68,,2.68,,5.36,,,,
2018-09-24,25,,1010400,,12.71733132,,,,,,13166387.16,13166387.16,13166387.16,26,26,1035310.54,,39819.63615385,,22.5,,1035310.54,,,,
2018-09-25,12,,0,,34.64282618,,,,,,13166387.16,13166387.16,13166387.16,8,8,380061,,47507.625,,6.75,,380061,,,,
2018-09-26,8,,0,,14.12227236,,,,,,13166383.76,13166383.76,13166383.76,7,6,932313.4,,155385.56666667,,25010,,932313.4,,,,
